"Date and Time Run #2","Time (s) Run #2","Black Bottle","Brushed Aluminum Bottle","White Bottle"
04/16/2026 03:45:10 pm,181.500,23.7,22.7,
04/16/2026 03:45:11 pm,182.000,23.7,22.7,22.3
04/16/2026 03:45:11 pm,182.500,23.7,22.7,
04/16/2026 03:45:12 pm,183.000,23.7,22.7,22.3
04/16/2026 03:45:12 pm,183.500,23.7,22.7,
04/16/2026 03:45:13 pm,184.000,23.7,22.7,22.2
04/16/2026 03:45:13 pm,184.500,23.7,22.7,
04/16/2026 03:45:14 pm,185.000,23.7,22.7,22.3
04/16/2026 03:45:14 pm,185.500,23.7,22.7,
04/16/2026 03:45:15 pm,186.000,23.7,22.7,22.3
04/16/2026 03:45:15 pm,186.500,23.7,22.7,
04/16/2026 03:45:16 pm,187.000,23.7,22.7,22.3
04/16/2026 03:45:16 pm,187.500,23.7,22.7,
04/16/2026 03:45:17 pm,188.000,23.7,22.7,22.3
04/16/2026 03:45:17 pm,188.500,23.7,22.7,
04/16/2026 03:45:18 pm,189.000,23.7,22.7,22.3
04/16/2026 03:45:18 pm,189.500,23.7,22.7,
04/16/2026 03:45:19 pm,190.000,23.7,22.7,22.3
04/16/2026 03:45:19 pm,190.500,23.7,22.7,
04/16/2026 03:45:20 pm,191.000,23.8,22.7,22.3
04/16/2026 03:45:20 pm,191.500,23.7,22.7,
04/16/2026 03:45:21 pm,192.000,23.8,22.7,22.3
04/16/2026 03:45:21 pm,192.500,23.7,22.7,
04/16/2026 03:45:22 pm,193.000,23.8,22.7,22.3
04/16/2026 03:45:22 pm,193.500,23.7,22.7,
04/16/2026 03:45:23 pm,194.000,23.8,22.7,22.3
04/16/2026 03:45:23 pm,194.500,23.8,22.7,
04/16/2026 03:45:24 pm,195.000,23.8,22.7,22.3
04/16/2026 03:45:24 pm,195.500,23.8,22.7,
04/16/2026 03:45:25 pm,196.000,23.8,22.7,22.2
04/16/2026 03:45:25 pm,196.500,23.8,22.7,
04/16/2026 03:45:26 pm,197.000,23.8,22.7,22.3
04/16/2026 03:45:26 pm,197.500,23.8,22.7,
04/16/2026 03:45:27 pm,198.000,23.8,22.7,22.3
04/16/2026 03:45:27 pm,198.500,23.8,22.7,
04/16/2026 03:45:28 pm,199.000,23.8,22.7,22.3
04/16/2026 03:45:28 pm,199.500,23.8,22.7,
04/16/2026 03:45:29 pm,200.000,23.8,22.8,22.3
04/16/2026 03:45:29 pm,200.500,23.8,22.7,
04/16/2026 03:45:30 pm,201.000,23.8,22.7,22.3
04/16/2026 03:45:30 pm,201.500,23.8,22.7,
04/16/2026 03:45:31 pm,202.000,23.8,22.7,22.3
04/16/2026 03:45:31 pm,202.500,23.8,22.7,
04/16/2026 03:45:32 pm,203.000,23.8,22.7,22.3
04/16/2026 03:45:32 pm,203.500,23.8,22.8,
04/16/2026 03:45:33 pm,204.000,23.8,22.7,22.3
04/16/2026 03:45:33 pm,204.500,23.8,22.7,
04/16/2026 03:45:34 pm,205.000,23.9,22.7,22.3
04/16/2026 03:45:34 pm,205.500,23.8,22.7,
04/16/2026 03:45:35 pm,206.000,23.8,22.8,22.3
04/16/2026 03:45:35 pm,206.500,23.8,22.8,
04/16/2026 03:45:36 pm,207.000,23.8,22.8,22.3
04/16/2026 03:45:36 pm,207.500,23.8,22.8,
