sweep_index,point_index,elapsed_time_s,angle_deg,dist_mm
3.300000000000000000e+01,1.000000000000000000e+00,6.670993590354919434e+01,0.000000000000000000e+00,1.841699999999999875e+02
3.300000000000000000e+01,2.000000000000000000e+00,6.670993590354919434e+01,4.500000000000000000e+01,2.125999999999999943e+02
3.400000000000000000e+01,0.000000000000000000e+00,6.867176818847656250e+01,-4.500000000000000000e+01,2.061999999999999886e+02
3.400000000000000000e+01,1.000000000000000000e+00,6.867176818847656250e+01,0.000000000000000000e+00,1.838000000000000114e+02
3.400000000000000000e+01,2.000000000000000000e+00,6.867176818847656250e+01,4.500000000000000000e+01,2.124000000000000057e+02
3.500000000000000000e+01,0.000000000000000000e+00,7.063346982002258301e+01,-4.500000000000000000e+01,2.051999999999999886e+02
3.500000000000000000e+01,1.000000000000000000e+00,7.063346982002258301e+01,0.000000000000000000e+00,1.835999999999999943e+02
3.500000000000000000e+01,2.000000000000000000e+00,7.063346982002258301e+01,4.500000000000000000e+01,2.110000000000000000e+02
3.600000000000000000e+01,0.000000000000000000e+00,7.259551811218261719e+01,-4.500000000000000000e+01,2.058000000000000114e+02
3.600000000000000000e+01,1.000000000000000000e+00,7.259551811218261719e+01,0.000000000000000000e+00,1.828000000000000114e+02
3.600000000000000000e+01,2.000000000000000000e+00,7.259551811218261719e+01,4.500000000000000000e+01,2.118000000000000114e+02
3.700000000000000000e+01,0.000000000000000000e+00,7.455670213699340820e+01,-4.500000000000000000e+01,2.055999999999999943e+02
3.700000000000000000e+01,1.000000000000000000e+00,7.455670213699340820e+01,0.000000000000000000e+00,1.835999999999999943e+02
3.700000000000000000e+01,2.000000000000000000e+00,7.455670213699340820e+01,4.500000000000000000e+01,2.125000000000000000e+02
3.800000000000000000e+01,0.000000000000000000e+00,7.651991987228393555e+01,-4.500000000000000000e+01,2.061999999999999886e+02
3.800000000000000000e+01,1.000000000000000000e+00,7.651991987228393555e+01,0.000000000000000000e+00,1.828000000000000114e+02
3.800000000000000000e+01,2.000000000000000000e+00,7.651991987228393555e+01,4.500000000000000000e+01,2.124000000000000057e+02
3.900000000000000000e+01,0.000000000000000000e+00,7.848214745521545410e+01,-4.500000000000000000e+01,2.055999999999999943e+02
3.900000000000000000e+01,1.000000000000000000e+00,7.848214745521545410e+01,0.000000000000000000e+00,1.831999999999999886e+02
3.900000000000000000e+01,2.000000000000000000e+00,7.848214745521545410e+01,4.500000000000000000e+01,2.121999999999999886e+02
4.000000000000000000e+01,0.000000000000000000e+00,8.044635677337646484e+01,-4.500000000000000000e+01,2.045999999999999943e+02
4.000000000000000000e+01,1.000000000000000000e+00,8.044635677337646484e+01,0.000000000000000000e+00,1.841999999999999886e+02
4.000000000000000000e+01,2.000000000000000000e+00,8.044635677337646484e+01,4.500000000000000000e+01,2.118000000000000114e+02
4.100000000000000000e+01,0.000000000000000000e+00,8.240933418273925781e+01,-4.500000000000000000e+01,2.044000000000000057e+02
4.100000000000000000e+01,1.000000000000000000e+00,8.240933418273925781e+01,0.000000000000000000e+00,1.841999999999999886e+02
4.100000000000000000e+01,2.000000000000000000e+00,8.240933418273925781e+01,4.500000000000000000e+01,2.128000000000000114e+02
4.200000000000000000e+01,0.000000000000000000e+00,8.437164068222045898e+01,-4.500000000000000000e+01,2.051999999999999886e+02
4.200000000000000000e+01,1.000000000000000000e+00,8.437164068222045898e+01,0.000000000000000000e+00,1.848000000000000114e+02
4.200000000000000000e+01,2.000000000000000000e+00,8.437164068222045898e+01,4.500000000000000000e+01,2.128000000000000114e+02
4.300000000000000000e+01,0.000000000000000000e+00,8.633280324935913086e+01,-4.500000000000000000e+01,2.058000000000000114e+02
4.300000000000000000e+01,1.000000000000000000e+00,8.633280324935913086e+01,0.000000000000000000e+00,1.835999999999999943e+02
4.300000000000000000e+01,2.000000000000000000e+00,8.633280324935913086e+01,4.500000000000000000e+01,2.121999999999999886e+02
4.400000000000000000e+01,0.000000000000000000e+00,8.829400086402893066e+01,-4.500000000000000000e+01,2.051999999999999886e+02
4.400000000000000000e+01,1.000000000000000000e+00,8.829400086402893066e+01,0.000000000000000000e+00,1.845999999999999943e+02
4.400000000000000000e+01,2.000000000000000000e+00,8.829400086402893066e+01,4.500000000000000000e+01,2.124000000000000057e+02
4.500000000000000000e+01,0.000000000000000000e+00,9.025205159187316895e+01,-4.500000000000000000e+01,2.048000000000000114e+02
4.500000000000000000e+01,1.000000000000000000e+00,9.025205159187316895e+01,0.000000000000000000e+00,1.840000000000000000e+02
4.500000000000000000e+01,2.000000000000000000e+00,9.025205159187316895e+01,4.500000000000000000e+01,2.121999999999999886e+02
4.600000000000000000e+01,0.000000000000000000e+00,9.221423292160034180e+01,-4.500000000000000000e+01,2.054000000000000057e+02
4.600000000000000000e+01,1.000000000000000000e+00,9.221423292160034180e+01,0.000000000000000000e+00,1.835999999999999943e+02
4.600000000000000000e+01,2.000000000000000000e+00,9.221423292160034180e+01,4.500000000000000000e+01,2.115999999999999943e+02
4.700000000000000000e+01,0.000000000000000000e+00,9.417548441886901855e+01,-4.500000000000000000e+01,2.058000000000000114e+02
